decimal date,average
1972.3716,330.07
1972.4563,329.09
1972.5383,328.04
1972.623,326.32
1972.7077,324.84
1972.7896,325.2
1972.8743,326.5
1972.9563,327.55
1973.0411,328.55
1973.126,329.56
1973.2027,330.3
1973.2877,331.5
1973.3699,332.48
1973.4548,332.07
1973.537,330.87
1973.6219,329.31
1973.7068,327.51
1973.789,327.18
1973.874,328.16
1973.9562,328.64
1974.0411,329.35
1974.126,330.71
1974.2027,331.48
1974.2877,332.65
1974.375,333.19
1974.4583,332.2
1974.5417,331.07
1974.625,329.15
1974.7083,327.33
1974.7917,327.28
1974.875,328.31
1974.9583,329.58
1975.0417,330.73
1975.125,331.46
1975.2083,331.94
1975.2917,333.11
1975.375,333.95
1975.4583,333.42
1975.5417,331.97
1975.625,329.95
1975.7083,328.5
1975.7917,328.36
1975.875,329.38
1975.9583,330.78
1976.0417,331.56
1976.125,332.74
1976.2083,333.36
1976.2917,334.74
1976.375,334.72
1976.4583,333.98
1976.5417,333.08
1976.625,330.68
1976.7083,328.96
1976.7917,328.72
1976.875,330.16
1976.9583,331.62
1977.0417,332.68
1977.125,333.17
1977.2083,334.96
1977.2917,336.14
1977.375,336.93
1977.4583,336.17
1977.5417,334.89
1977.625,332.56
1977.7083,331.29
1977.7917,331.28
1977.875,332.46
1977.9583,333.6
1978.0417,334.94
1978.125,335.26
1978.2083,336.66
1978.2917,337.69
1978.375,338.02
1978.4583,338.01
1978.5417,336.5
1978.625,334.42
1978.7083,332.36
1978.7917,332.45
1978.875,333.76
1978.9583,334.91
1979.0417,336.14
1979.125,336.69
1979.2083,338.27
1979.2917,338.82
1979.375,339.24
1979.4583,339.26
1979.5417,337.54
1979.625,335.72
1979.7083,333.97
1979.7917,334.24
1979.875,335.32
1979.9583,336.82
1980.0417,337.9
1980.125,338.34
1980.2083,340.07
1980.2917,340.93
1980.375,341.45
1980.4583,341.36
1980.5417,339.45
1980.625,337.67
1980.7083,336.25
1980.7917,336.14
1980.875,337.3
1980.9583,338.29
1981.0417,339.29
1981.125,340.55
1981.2083,341.63
1981.2917,342.6
1981.375,343.04
1981.4583,342.54
1981.5417,340.82
1981.625,338.48
1981.7083,336.95
1981.7917,337.05
1981.875,338.57
1981.9583,339.91
1982.0417,340.93
1982.125,341.76
1982.2083,342.77
1982.2917,343.96
1982.375,344.77
1982.4583,343.88
1982.5417,342.42
1982.625,340.24
1982.7083,338.38
1982.7917,338.41
1982.875,339.44
1982.9583,340.78
1983.0417,341.57
1983.125,342.79
1983.2083,343.37
1983.2917,345.4
1983.375,346.14
1983.4583,345.76
1983.5417,344.32
1983.625,342.51
1983.7083,340.46
1983.7917,340.53
1983.875,341.79
1983.9583,343.2
1984.0417,344.21
1984.125,344.92
1984.2083,345.68
1984.2917,347.37
1984.375,347.78
1984.4583,347.16
1984.5417,345.79
1984.625,343.74
1984.7083,341.59
1984.7917,341.86
1984.875,343.31
1984.9583,345
1985.0417,345.48
1985.125,346.41
1985.2083,347.91
1985.2917,348.66
1985.375,349.28
1985.4583,348.65
1985.5417,346.9
1985.625,345.26
1985.7083,343.47
1985.7917,343.35
1985.875,344.73
1985.9583,346.12
1986.0417,346.78
1986.125,347.48
1986.2083,348.25
1986.2917,349.86
1986.375,350.52
1986.4583,349.98
1986.5417,348.25
1986.625,346.17
1986.7083,345.48
1986.7917,344.82
1986.875,346.22
1986.9583,347.49
1987.0417,348.73
1987.125,348.92
1987.2083,349.81
1987.2917,351.4
1987.375,352.15
1987.4583,351.58
1987.5417,350.21
1987.625,348.2
1987.7083,346.66
1987.7917,346.72
1987.875,348.08
1987.9583,349.28
1988.0417,350.51
1988.125,351.7
1988.2083,352.5
1988.2917,353.67
1988.375,354.35
1988.4583,353.88
1988.5417,352.8
1988.625,350.49
1988.7083,348.97
1988.7917,349.37
1988.875,350.42
1988.9583,351.62
1989.0417,353.07
1989.125,353.43
1989.2083,354.08
1989.2917,355.72
1989.375,355.95
1989.4583,355.44
1989.5417,354.05
1989.625,351.84
1989.7083,350.09
1989.7917,350.33
1989.875,351.55
1989.9583,352.91
1990.0417,353.86
1990.125,355.1
1990.2083,355.75
1990.2917,356.38
1990.375,357.38
1990.4583,356.39
1990.5417,354.89
1990.625,353.06
1990.7083,351.38
1990.7917,351.69
1990.875,353.14
1990.9583,354.41
1991.0417,354.93
1991.125,355.82
1991.2083,357.33
1991.2917,358.77
1991.375,359.23
1991.4583,358.23
1991.5417,356.3
1991.625,353.97
1991.7083,352.34
1991.7917,352.43
1991.875,353.89
1991.9583,355.21
1992.0417,356.34
1992.125,357.21
1992.2083,357.97
1992.2917,359.22
1992.375,359.71
1992.4583,359.44
1992.5417,357.15
1992.625,354.99
1992.7083,353.01
1992.7917,353.41
1992.875,354.42
1992.9583,355.68
1993.0417,357.1
1993.125,357.42
1993.2083,358.59
1993.2917,359.39
1993.375,360.3
1993.4583,359.64
1993.5417,357.45
1993.625,355.76
1993.7083,354.14
1993.7917,354.23
1993.875,355.53
1993.9583,357.03
1994.0417,358.36
1994.125,359.04
1994.2083,360.11
1994.2917,361.36
1994.375,361.78
1994.4583,360.94
1994.5417,359.51
1994.625,357.59
1994.7083,355.86
1994.7917,356.21
1994.875,357.65
1994.9583,359.1
1995.0417,360.04
1995.125,361
1995.2083,361.98
1995.2917,363.44
1995.375,363.83
1995.4583,363.33
1995.5417,361.78
1995.625,359.33
1995.7083,358.32
1995.7917,358.14
1995.875,359.61
1995.9583,360.82
1996.0417,362.2
1996.125,363.36
1996.2083,364.28
1996.2917,364.69
1996.375,365.25
1996.4583,365.06
1996.5417,363.69
1996.625,361.55
1996.7083,359.69
1996.7917,359.72
1996.875,361.04
1996.9583,362.39
1997.0417,363.24
1997.125,364.21
1997.2083,364.65
1997.2917,366.49
1997.375,366.77
1997.4583,365.73
1997.5417,364.46
1997.625,362.4
1997.7083,360.44
1997.7917,360.98
1997.875,362.65
1997.9583,364.51
1998.0417,365.39
1998.125,366.1
1998.2083,367.36
1998.2917,368.79
1998.375,369.56
1998.4583,369.13
1998.5417,367.98
1998.625,366.1
1998.7083,364.16
1998.7917,364.54
1998.875,365.67
1998.9583,367.3
1999.0417,368.35
1999.125,369.28
1999.2083,369.84
1999.2917,371.15
1999.375,371.12
1999.4583,370.46
1999.5417,369.61
1999.625,367.06
1999.7083,364.95
1999.7917,365.52
1999.875,366.88
1999.9583,368.26
2000.0417,369.45
2000.125,369.71
2000.2083,370.75
2000.2917,371.98
2000.375,371.75
2000.4583,371.87
2000.5417,370.02
2000.625,368.27
2000.7083,367.15
2000.7917,367.18
2000.875,368.53
2000.9583,369.83
2001.0417,370.76
2001.125,371.69
2001.2083,372.63
2001.2917,373.55
2001.375,374.03
2001.4583,373.4
2001.5417,371.68
2001.625,369.78
2001.7083,368.34
2001.7917,368.61
2001.875,369.94
2001.9583,371.42
2002.0417,372.7
2002.125,373.37
2002.2083,374.3
2002.2917,375.19
2002.375,375.93
2002.4583,375.69
2002.5417,374.16
2002.625,372.03
2002.7083,370.92
2002.7917,370.73
2002.875,372.43
2002.9583,373.98
2003.0417,375.07
2003.125,375.82
2003.2083,376.64
2003.2917,377.92
2003.375,378.78
2003.4583,378.46
2003.5417,376.88
2003.625,374.57
2003.7083,373.34
2003.7917,373.31
2003.875,374.84
2003.9583,376.17
2004.0417,377.17
2004.125,378.05
2004.2083,379.06
2004.2917,380.54
2004.375,380.8
2004.4583,379.87
2004.5417,377.65
2004.625,376.17
2004.7083,374.43
2004.7917,374.63
2004.875,376.33
2004.9583,377.68
2005.0417,378.63
2005.125,379.91
2005.2083,380.95
2005.2917,382.48
2005.375,382.64
2005.4583,382.4
2005.5417,380.93
2005.625,378.93
2005.7083,376.89
2005.7917,377.19
2005.875,378.54
2005.9583,380.31
2006.0417,381.58
2006.125,382.4
2006.2083,382.86
2006.2917,384.8
2006.375,385.22
2006.4583,384.24
2006.5417,382.65
2006.625,380.6
2006.7083,379.04
2006.7917,379.33
2006.875,380.35
2006.9583,382.02
2007.0417,383.1
2007.125,384.12
2007.2083,384.81
2007.2917,386.73
2007.375,386.78
2007.4583,386.33
2007.5417,384.73
2007.625,382.24
2007.7083,381.2
2007.7917,381.37
2007.875,382.7
2007.9583,384.19
2008.0417,385.78
2008.125,386.06
2008.2083,386.28
2008.2917,387.33
2008.375,388.78
2008.4583,387.99
2008.5417,386.61
2008.625,384.32
2008.7083,383.41
2008.7917,383.21
2008.875,384.41
2008.9583,385.79
2009.0417,387.17
2009.125,387.7
2009.2083,389.04
2009.2917,389.76
2009.375,390.36
2009.4583,389.7
2009.5417,388.24
2009.625,386.29
2009.7083,384.95
2009.7917,384.64
2009.875,386.23
2009.9583,387.63
2010.0417,388.91
2010.125,390.41
2010.2083,391.37
2010.2917,392.67
2010.375,393.21
2010.4583,392.38
2010.5417,390.41
2010.625,388.54
2010.7083,387.03
2010.7917,387.43
2010.875,388.87
2010.9583,389.99
2011.0417,391.5
2011.125,392.05
2011.2083,392.8
2011.2917,393.44
2011.375,394.41
2011.4583,393.95
2011.5417,392.72
2011.625,390.33
2011.7083,389.28
2011.7917,389.19
2011.875,390.48
2011.9583,392.06
2012.0417,393.31
2012.125,394.04
2012.2083,394.59
2012.2917,396.38
2012.375,396.93
2012.4583,395.91
2012.5417,394.56
2012.625,392.59
2012.7083,391.32
2012.7917,391.27
2012.875,393.2
2012.9583,394.57
2013.0417,395.78
2013.125,397.03
2013.2083,397.66
2013.2917,398.64
2013.375,400.02
2013.4583,398.81
2013.5417,397.51
2013.625,395.39
2013.7083,393.72
2013.7917,393.9
2013.875,395.36
2013.9583,397.03
2014.0417,398.04
2014.125,398.27
2014.2083,399.91
2014.2917,401.51
2014.375,401.96
2014.4583,401.43
2014.5417,399.27
2014.625,397.18
2014.7083,395.54
2014.7917,396.16
2014.875,397.4
2014.9583,399.08
2015.0417,400.18
2015.125,400.55
2015.2083,401.74
2015.2917,403.35
2015.375,404.15
2015.4583,402.97
2015.5417,401.46
2015.625,399.11
2015.7083,397.82
2015.7917,398.49
2015.875,400.27
2015.9583,402.06
2016.0417,402.73
2016.125,404.25
2016.2083,405.06
2016.2917,407.6
2016.375,407.9
2016.4583,406.99
2016.5417,404.59
2016.625,402.45
2016.7083,401.23
2016.7917,401.79
2016.875,403.72
2016.9583,404.64
2017.0417,406.36
2017.125,406.66
2017.2083,407.54
2017.2917,409.22
2017.375,409.89
2017.4583,409.08
2017.5417,407.33
2017.625,405.32
2017.7083,403.57
2017.7917,403.82
2017.875,405.31
2017.9583,407
2018.0417,408.15
2018.125,408.52
2018.2083,409.59
2018.2917,410.45
2018.375,411.44
2018.4583,410.99
2018.5417,408.9
2018.625,407.16
2018.7083,405.71
2018.7917,406.19
2018.875,408.21
2018.9583,409.27
2019.0417,411.03
2019.125,411.96
2019.2083,412.18
2019.2917,413.54
2019.375,414.86
2019.4583,414.16
2019.5417,411.97
2019.625,410.18
2019.7083,408.76
2019.7917,408.75
2019.875,410.48
2019.9583,411.98
2020.0417,413.61
2020.125,414.34
2020.2083,414.74
2020.2917,416.45
2020.375,417.31
2020.4583,416.6
2020.5417,414.62
2020.625,412.78
2020.7083,411.52
2020.7917,411.51
2020.875,413.12
2020.9583,414.26
2021.0417,415.52
2021.125,416.75
2021.2083,417.64
2021.2917,419.05
2021.375,419.13
2021.4583,418.94
2021.5417,416.96
2021.625,414.47
2021.7083,413.3
2021.7917,413.93
2021.875,415.01
2021.9583,416.71
2022.0417,418.19
2022.125,419.28
2022.2083,418.81
2022.2917,420.23
2022.375,420.99
2022.4583,420.99
2022.5417,418.9
2022.625,417.19
